series_id,match_id,game_number,season,split,regional,stage,round,team,player_name,unique_id,best_of,source_file
6854c8abbf732206934185f4b5aec2ea,20211126-181336-2021-22-Fall -Regional Event 3-Swiss-2-G3,3,2021-22,Fall,Regional Event 3,Swiss,2,AUFBAU,grape,SSA-P-10023,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-181336-2021-22-Fall -Regional Event 3-Swiss-2-G3,3,2021-22,Fall,Regional Event 3,Swiss,2,AUFBAU,Jerome in da bath,SSA-P-10026,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-181336-2021-22-Fall -Regional Event 3-Swiss-2-G3,3,2021-22,Fall,Regional Event 3,Swiss,2,AUFBAU,Ram RanchYT,SSA-P-10045,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-181336-2021-22-Fall -Regional Event 3-Swiss-2-G3,3,2021-22,Fall,Regional Event 3,Swiss,2,DIGITAL DEVILS,Auriginal,SSA-P-10003,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-181336-2021-22-Fall -Regional Event 3-Swiss-2-G3,3,2021-22,Fall,Regional Event 3,Swiss,2,DIGITAL DEVILS,Yujn.,SSA-P-10065,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-181336-2021-22-Fall -Regional Event 3-Swiss-2-G3,3,2021-22,Fall,Regional Event 3,Swiss,2,DIGITAL DEVILS,Zero,SSA-P-10066,5,2021-22 Season Database - 2021-22 Season (1).csv
688f646e9c13457d6a79c5f85a384520,20240218-185619-2024-Major 1-Open Qualifier 2-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 2,Playoffs,SF,LIMITLESS,2Die4,SSA-P-10001,7,2024 Season Database - 2024 Major 1.csv
688f646e9c13457d6a79c5f85a384520,20240218-185619-2024-Major 1-Open Qualifier 2-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 2,Playoffs,SF,LIMITLESS,Snowyy,SSA-P-10054,7,2024 Season Database - 2024 Major 1.csv
688f646e9c13457d6a79c5f85a384520,20240218-185619-2024-Major 1-Open Qualifier 2-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 2,Playoffs,SF,LIMITLESS,Sweaty,SSA-P-10056,7,2024 Season Database - 2024 Major 1.csv
688f646e9c13457d6a79c5f85a384520,20240218-185619-2024-Major 1-Open Qualifier 2-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 2,Playoffs,SF,YOUNG MONEY CLAN,Little MOTION,SSA-P-10154,7,2024 Season Database - 2024 Major 1.csv
